fideid, sex, name, rating, country, title, k, birthday, avrisk, gamecount, oprating 
1000012, M, Timman Jan H, 2531, NED, GM, 10, 1951, 135.07722857973448, 46, 2413.3260869565215 
1000020, M, Van der Wiel John T.H., 2386, NED, GM, 10, 1959, 131.56649049553175, 38, 2461.1315789473683 
1000063, M, Nijboer Friso, 2452, NED, GM, 10, 1965, 133.32339494345462, 32, 2285.875 
1000080, M, Bosboom Manuel, 2368, NED, IM, 10, 1963, 132.90427446660445, 58, 2310.051724137931 
100013, M, Campora Daniel H., 2337, ARG, GM, 10, 1957, 129.41919773460182, 60, 2215.6666666666665 
1000268, M, Van Wely Loek, 2637, NED, GM, 10, 1972, 136.73393645055583, 120, 2490.65 
1000330, M, Grooten Herman, 2258, NED, IM, 10, 1958, 136.06861287652853, 33, 2166.6666666666665 
1000446, M, Welling Gerard, 2255, NED, IM, 10, 1959, 132.61923396467486, 61, 2213.8196721311474 
1000470, M, Van der Werf Mark, 2413, NED, IM, 10, 1968, 138.92973470033365, 32, 2229.25 
1000683, M, Martens Martin, 2342, NED, IM, 10, 1970, 135.08922774683023, 23, 2352.5652173913045 
1001302, M, Reinderman Dimitri, 2573, NED, GM, 10, 1972, 135.58762961738046, 39, 2438.74358974359 
100137, M, Zarnicki Pablo, 2514, ARG, GM, 10, 1972, 132.54541298648795, 33, 2533.0 
1001396, M, Bezemer Arno, 2247, NED, FM, 20, 1967, 132.9225551957249, 29, 2196.896551724138 
1002112, M, Van de Griendt Jan Willem, 2369, NED, IM, 10, 1970, 131.54754778988652, 21, 2318.3809523809523 
100242, M, Ricardi Pablo, 2464, ARG, GM, 10, 1962, 137.93515229303287, 25, 2362.08 
100250, M, Slipak Sergio, 2382, ARG, GM, 10, 1965, 133.42548051128995, 32, 2362.21875 
1002708, M, Jonkman Harmen, 2337, NED, GM, 10, 1975, 137.6071097415422, 23, 2277.4347826086955 
1002848, M, De Jong Migchiel, 2335, NED, IM, 10, 1972, 135.17967747438558, 38, 2231.4210526315787 
1002864, M, Wiersma Eelke, 2305, NED, IM, 10, 1973, 128.21923976175302, 26, 2137.653846153846 
100340, M, Hoffman Alejandro, 2372, URU, GM, 10, 1966, 134.44160735891424, 65, 2328.2153846153847 
1003623, M, Klein David, 2491, NED, GM, 10, 1993, 144.01144060556268, 27, 2488.0 
1003720, M, Van den Doel Erik, 2577, NED, GM, 10, 1979, 133.48433544209416, 57, 2445.4912280701756 
1004166, M, Vedder Richard, 2261, NED, FM, 20, 1970, 134.37637877203537, 28, 2278.25 
1004670, M, Van Delft Merijn, 2367, NED, IM, 10, 1979, 129.91553228520098, 33, 2360.818181818182 
1004689, M, Ernst Sipke, 2515, NED, GM, 10, 1979, 133.33312031684466, 98, 2416.683673469388 
1005308, F, Lanchava Tea, 2249, NED, IM, 20, 1974, 128.2962302985458, 26, 2211.8076923076924 
1005448, M, Wunnink Michael, 2308, NED, FM, 20, 1979, 135.83056002959398, 30, 2260.5333333333333 
1005669, M, Hopman Pieter, 2342, NED, IM, 10, 1972, 131.25610472899083, 21, 2271.190476190476 
100587, M, Valerga Diego, 2438, ARG, GM, 10, 1971, 134.47893126338545, 29, 2441.2413793103447 
1006088, M, Werle Jan, 2550, NED, GM, 10, 1984, 134.0804433443912, 58, 2447.189655172414 
1006282, M, Van den Bersselaar Jeroen, 2114, NED, NULL, 20, 1967, 139.42375638351626, 35, 2106.5142857142855 
1007092, M, Lahaye Rick, 2434, NED, NULL, 10, 1983, 133.0963810540929, 51, 2378.627450980392 
1007246, M, Smeets Jan, 2554, NED, GM, 10, 1985, 131.83064572379547, 36, 2501.75 
1007998, M, L'Ami Erwin, 2621, NED, GM, 10, 1985, 133.42924472083732, 69, 2519.1304347826085 
1008013, M, Tiviakov Sergei, 2562, NED, GM, 10, 1973, 132.85909383392183, 71, 2431.450704225352 
1008048, M, Tabak Stefan, 2126, NED, FM, 20, 1968, 130.46696213347502, 25, 2250.0 
1008439, M, Leenhouts Koen, 2437, NED, IM, 10, 1984, 134.74436189537806, 100, 2369.02 
1008803, M, Lammens Tim, 2235, NED, FM, 20, 1979, 133.42215690058003, 25, 2293.84 
10101314, M, Silva David, 2340, ANG, IM, 20, 1998, 130.94925819294957, 21, 2288.904761904762 
1010298, M, De Rover Yong Hoon, 2308, NED, IM, 10, 1979, 134.54556325394782, 41, 2270.3658536585367 
1010697, M, Burg Twan, 2519, NED, GM, 10, 1990, 133.48685753599315, 70, 2411.457142857143 
1010891, M, Spoelman Wouter, 2538, NED, GM, 10, 1990, 135.45138818592417, 38, 2505.815789473684 
1011480, M, Ris Robert, 2465, NED, IM, 10, 1988, 135.15150048945017, 30, 2368.5666666666666 
1013068, M, Pruijssers Roeland, 2547, NED, GM, 10, 1989, 134.56221704123624, 83, 2461.614457831325 
1013262, M, Sparenberg Erik, 2141, NED, NULL, 20, 1983, 138.92308333335103, 23, 2094.8695652173915 
1014358, M, Blom Vincent, 2350, NED, FM, 20, 1992, 134.41789336128002, 39, 2293.358974358974 
1017063, M, Bok Benjamin, 2618, NED, GM, 10, 1995, 137.99569658192584, 98, 2508.7244897959185 
101710, M, Rodi Luis Ernesto, 2312, URU, IM, 10, 1968, 133.58504449891691, 22, 2209.3636363636365 
1018400, M, Kuipers Stefan, 2441, NED, IM, 10, 1990, 130.12139348071076, 56, 2478.5178571428573 
1019260, M, Van der Lende Ilias, 2398, NED, IM, 10, 1994, 133.37870975904232, 63, 2344.6984126984125 
1019554, M, Pijpers Arthur, 2458, NED, IM, 10, 1994, 130.63405134294297, 71, 2431.3521126760565 
1019716, M, Admiraal Miguoel, 2477, NED, IM, 10, 1994, 135.31159803434358, 133, 2413.6766917293235 
1019945, M, Grochal Joey, 2268, NED, FM, 20, 1986, 132.6800919883599, 32, 2197.25 
10200010, M, Murshed Niaz, 2419, BAN, GM, 10, 1966, 132.0787764495911, 36, 2153.5 
10200037, M, Rahman Ziaur, 2464, BAN, GM, 10, 1974, 133.8485055266581, 83, 2203.89156626506 
10200096, F, Hamid Rani, 1760, BAN, WIM, 20, 1944, 138.86619165527625, 28, 1847.107142857143 
10200207, M, Reefat Bin-Sattar, 2367, BAN, GM, 10, 1974, 128.23787351570715, 22, 2134.6363636363635 
10200525, M, Ahmed Sheikh Nasir, 2181, BAN, FM, 20, 1975, 136.98655593754341, 42, 2133.190476190476 
10200622, M, Rahman Md. Taibur, 2171, BAN, FM, 20, 1976, 133.65170333823517, 31, 2088.0 
10200649, M, Hossain Enamul, 2392, BAN, GM, 10, 1981, 134.4172689441609, 40, 2096.4 
10200738, M, Rahman Syed Mahfuzur, 2130, BAN, FM, 20, 1979, 134.45771149930908, 45, 2104.8 
10200916, M, Abu Sufian Shakil, 2229, BAN, IM, 10, 1980, 134.64596785494672, 48, 2117.6041666666665 
10200975, M, Islam Khandaker Aminul, 2153, BAN, FM, 20, 1977, 133.8725819490964, 33, 2150.3939393939395 
10200983, M, Mohammad Javed, 2085, BAN, FM, 20, 1983, 137.9775538314342, 31, 2113.7419354838707 
10201114, M, Chowdhury Sohel, 2004, BAN, CM, 20, 1972, 137.01995179740473, 39, 2079.846153846154 
10201203, M, Mehdi Hasan Parag, 2185, BAN, FM, 20, 1985, 133.99425026468614, 51, 2170.5686274509803 
10201300, M, Mohammed Abdul Malek, 2152, BAN, FM, 20, 1983, 133.18724178653366, 25, 2107.92 
