fideid, riskscore, gamecount, oprating 
1000012, 135.07722857973448, 46, 2413.3260869565215 
1000020, 131.56649049553175, 38, 2461.1315789473683 
1000063, 133.32339494345462, 32, 2285.875 
1000080, 132.90427446660445, 58, 2310.051724137931 
100013, 129.41919773460182, 60, 2215.6666666666665 
1000268, 136.73393645055583, 120, 2490.65 
1000330, 136.06861287652853, 33, 2166.6666666666665 
1000446, 132.61923396467486, 61, 2213.8196721311474 
1000470, 138.92973470033365, 32, 2229.25 
1000683, 135.08922774683023, 23, 2352.5652173913045 
1001302, 135.58762961738046, 39, 2438.74358974359 
100137, 132.54541298648795, 33, 2533.0 
1001396, 132.9225551957249, 29, 2196.896551724138 
1002112, 131.54754778988652, 21, 2318.3809523809523 
100242, 137.93515229303287, 25, 2362.08 
100250, 133.42548051128995, 32, 2362.21875 
1002708, 137.6071097415422, 23, 2277.4347826086955 
1002848, 135.17967747438558, 38, 2231.4210526315787 
1002864, 128.21923976175302, 26, 2137.653846153846 
100340, 134.44160735891424, 65, 2328.2153846153847 
1003623, 144.01144060556268, 27, 2488.0 
1003720, 133.48433544209416, 57, 2445.4912280701756 
1004166, 134.37637877203537, 28, 2278.25 
1004670, 129.91553228520098, 33, 2360.818181818182 
1004689, 133.33312031684466, 98, 2416.683673469388 
1005308, 128.2962302985458, 26, 2211.8076923076924 
1005448, 135.83056002959398, 30, 2260.5333333333333 
1005669, 131.25610472899083, 21, 2271.190476190476 
100587, 134.47893126338545, 29, 2441.2413793103447 
1006088, 134.0804433443912, 58, 2447.189655172414 
1006282, 139.42375638351626, 35, 2106.5142857142855 
1007092, 133.0963810540929, 51, 2378.627450980392 
1007246, 131.83064572379547, 36, 2501.75 
1007998, 133.42924472083732, 69, 2519.1304347826085 
1008013, 132.85909383392183, 71, 2431.450704225352 
1008048, 130.46696213347502, 25, 2250.0 
1008439, 134.74436189537806, 100, 2369.02 
1008803, 133.42215690058003, 25, 2293.84 
10101314, 130.94925819294957, 21, 2288.904761904762 
1010298, 134.54556325394782, 41, 2270.3658536585367 
1010697, 133.48685753599315, 70, 2411.457142857143 
1010891, 135.45138818592417, 38, 2505.815789473684 
1011480, 135.15150048945017, 30, 2368.5666666666666 
1013068, 134.56221704123624, 83, 2461.614457831325 
1013262, 138.92308333335103, 23, 2094.8695652173915 
1014358, 134.41789336128002, 39, 2293.358974358974 
1017063, 137.99569658192584, 98, 2508.7244897959185 
101710, 133.58504449891691, 22, 2209.3636363636365 
1018400, 130.12139348071076, 56, 2478.5178571428573 
1019260, 133.37870975904232, 63, 2344.6984126984125 
1019554, 130.63405134294297, 71, 2431.3521126760565 
1019716, 135.31159803434358, 133, 2413.6766917293235 
1019945, 132.6800919883599, 32, 2197.25 
